date,deaths,cases
2020-03-01,1,30
2020-03-02,0,39
2020-03-03,5,52
2020-03-04,1,49
2020-03-05,4,47
2020-03-06,3,73
2020-03-07,1,47
2020-03-08,5,50
2020-03-09,3,125
2020-03-10,1,224
2020-03-11,7,365
2020-03-12,9,420
2020-03-13,15,390
2020-03-14,22,317
2020-03-15,28,398
2020-03-16,46,545
2020-03-17,39,675
2020-03-18,59,907
2020-03-19,57,932
2020-03-20,95,1081
2020-03-21,92,1030
2020-03-22,131,1204
2020-03-23,129,2023
2020-03-24,157,2022
2020-03-25,213,2259
2020-03-26,294,2615
2020-03-27,332,2664
2020-03-28,333,2375
2020-03-29,576,2437
2020-03-30,566,3481
2020-03-31,313,3763
2020-04-01,559,4078
2020-04-02,559,3894
2020-04-03,604,3936
2020-04-04,700,3227
2020-04-05,660,3020
2020-04-06,643,4183
2020-04-07,704,4325
2020-04-08,782,4099
2020-04-09,674,3842
2020-04-10,624,3412
2020-04-11,660,2764
2020-04-12,589,2481
2020-04-13,521,2495
2020-04-14,427,931
2020-04-15,151,114
,,
Awaiting verification,1,
,,
Total,"12,396",